Content name,Content type,Film date,Platform,Publish date,Status
Blog post,Blog article,"February 10, 2025","Blog / website, LinkedIn","February 13, 2025",Published
Opinion piece,Social post,"February 19, 2025",Instagram,"March 27, 2025",Approved for publishing
Product launch,Story / short form video,"March 11, 2025",YouTube,"March 28, 2025",Idea
Созвон,,"September 9, 2026",,,Idea
дедлайн,,"September 22, 2026",,,Idea
Изучение данных,,"September 10, 2026",,,Idea
Эскиз готов,,"September 12, 2026",,,Idea
Датасет,,"September 13, 2026",,,Idea
Ревью датасета,,"September 15, 2026",,,Idea
Ограничения,,"September 16, 2026",,,Idea
Набросок готов,,"September 16, 2026",,,Idea
Проверка модели,,"September 17, 2026",,,Idea
Отказ,,"September 18, 2026",,,Idea
Граничные случаи,,"September 19, 2026",,,Idea
Оформление,,"September 20, 2026",,,Idea
Демо,,"September 20, 2026",,,Idea
Этюд готов,,"September 19, 2026",,,Idea
Картина готова,,"September 20, 2026",,,Idea
МАС работает,,"September 16, 2026",,,Idea
Созвон,,"September 11, 2026",,,Idea
Созвон,,"September 15, 2026",,,Idea
